metric,date,fraser,interior,vancouver_island,northern,vancouver_coastal,total_bc
ever_hospitalized,1-4-2020,104,17,11,5,88,225
ever_hospitalized,2-4-2020,112,18,11,5,98,244
ever_hospitalized,3-4-2020,121,20,14,6,102,263
ever_hospitalized,27-3-2020,65,8,8,2,40,123
ever_hospitalized,26-3-2020,56,8,5,1,40,110
ever_hospitalized,30-3-2020,80,12,9,4,70,175
ever_hospitalized,24-3-2020,45,6,4,1,40,96
ever_hospitalized,25-3-2020,55,6,5,1,40,107
ever_hospitalized,31-3-2020,94,15,9,5,81,204
ever_hospitalized,23-3-2020,36,5,4,0,38,83
